image URN	folio URN
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0153	urn:cite:ogl:modena_alfa_t_8_21.folio.77r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0154	urn:cite:ogl:modena_alfa_t_8_21.folio.77v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0155	urn:cite:ogl:modena_alfa_t_8_21.folio.78r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0156	urn:cite:ogl:modena_alfa_t_8_21.folio.78v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0157	urn:cite:ogl:modena_alfa_t_8_21.folio.79r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0158	urn:cite:ogl:modena_alfa_t_8_21.folio.79v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0159	urn:cite:ogl:modena_alfa_t_8_21.folio.80r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0160	urn:cite:ogl:modena_alfa_t_8_21.folio.80v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0161	urn:cite:ogl:modena_alfa_t_8_21.folio.81r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0162	urn:cite:ogl:modena_alfa_t_8_21.folio.81v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0163	urn:cite:ogl:modena_alfa_t_8_21.folio.82r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0164	urn:cite:ogl:modena_alfa_t_8_21.folio.82v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0165	urn:cite:ogl:modena_alfa_t_8_21.folio.83r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0166	urn:cite:ogl:modena_alfa_t_8_21.folio.83v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0167	urn:cite:ogl:modena_alfa_t_8_21.folio.84r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0168	urn:cite:ogl:modena_alfa_t_8_21.folio.84v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0169	urn:cite:ogl:modena_alfa_t_8_21.folio.85r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0170	urn:cite:ogl:modena_alfa_t_8_21.folio.85v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0171	urn:cite:ogl:modena_alfa_t_8_21.folio.86r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0172	urn:cite:ogl:modena_alfa_t_8_21.folio.86v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0173	urn:cite:ogl:modena_alfa_t_8_21.folio.87r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0174	urn:cite:ogl:modena_alfa_t_8_21.folio.87v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0175	urn:cite:ogl:modena_alfa_t_8_21.folio.88r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0176	urn:cite:ogl:modena_alfa_t_8_21.folio.88v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0177	urn:cite:ogl:modena_alfa_t_8_21.folio.89r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0178	urn:cite:ogl:modena_alfa_t_8_21.folio.89v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0179	urn:cite:ogl:modena_alfa_t_8_21.folio.90r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0180	urn:cite:ogl:modena_alfa_t_8_21.folio.90v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0181	urn:cite:ogl:modena_alfa_t_8_21.folio.91r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0182	urn:cite:ogl:modena_alfa_t_8_21.folio.91v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0183	urn:cite:ogl:modena_alfa_t_8_21.folio.92r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0184	urn:cite:ogl:modena_alfa_t_8_21.folio.92v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0185	urn:cite:ogl:modena_alfa_t_8_21.folio.93r
