Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 10.Prop 2.51	10.prop.					
Euc. 10.Prop 2.52	10.prop.					
Euc. 10.Prop 2.53	10.prop.					
Euc. 10.Prop 2.54	10.prop.					
Euc. 10.Prop 2.55	10.prop.					
Euc. 10.Prop 2.56	10.prop.					
Euc. 10.Prop 2.57	10.prop.					
Euc. 10.Prop 2.58	10.prop.					
Euc. 10.Prop 2.59	10.prop.					
Euc. 10.Prop 2.60	10.prop.					
Euc. 10.Prop 2.61	10.prop.					
Euc. 10.Prop 2.62	10.prop.					
Euc. 10.Prop 2.63	10.prop.					
Euc. 10.Prop 2.64	10.prop.					
Euc. 10.Prop 2.65	10.prop.					
Euc. 10.Prop 2.66	10.prop.					
Euc. 10.Prop 2.67	10.prop.					
Euc. 10.Prop 2.68	10.prop.					
Euc. 10.Prop 2.69	10.prop.					
Euc. 10.Prop 2.70	10.prop.					
Euc. 10.Prop 2.71	10.prop.					
Euc. 10.Prop 2.72	10.prop.					
Euc. 10.Prop 2.73	10.prop.					
Euc. 10.Prop 2.74	10.prop.					
Euc. 10.Prop 2.75	10.prop.					
Euc. 10.Prop 2.76	10.prop.					
Euc. 10.Prop 2.77	10.prop.					
Euc. 10.Prop 2.78	10.prop.					
Euc. 10.Prop 2.79	10.prop.					
Euc. 10.Prop 2.80	10.prop.					
Euc. 10.Prop 2.81	10.prop.					
Euc. 10.Prop 2.82	10.prop.					
Euc. 10.Prop 2.83	10.prop.					
Euc. 10.Prop 2.84	10.prop.					
Euc. 10.Prop 3.85	10.prop.					
Euc. 10.Prop 3.86	10.prop.					
Euc. 10.Prop 3.87	10.prop.					
Euc. 10.Prop 3.88	10.prop.					
Euc. 10.Prop 3.89	10.prop.					
Euc. 10.Prop 3.90	10.prop.					
Euc. 10.Prop 3.91	10.prop.					
Euc. 10.Prop 3.92	10.prop.					
Euc. 10.Prop 3.93	10.prop.					
Euc. 10.Prop 3.94	10.prop.					
Euc. 10.Prop 3.95	10.prop.					
Euc. 10.Prop 3.96	10.prop.					
Euc. 10.Prop 3.97	10.prop.					
Euc. 10.Prop 3.98	10.prop.					
Euc. 10.Prop 3.99	10.prop.					
Euc. 10.Prop 3.100	10.prop.					
Euc. 10.Prop 3.101	10.prop.					
Euc. 10.Prop 3.102	10.prop.					
Euc. 10.Prop 3.103	10.prop.					
Euc. 10.Prop 3.104	10.prop.					
Euc. 10.Prop 3.105	10.prop.					
Euc. 10.Prop 3.106	10.prop.					
Euc. 10.Prop 3.107	10.prop.					
Euc. 10.Prop 3.108	10.prop.					
Euc. 10.Prop 3.109	10.prop.					
Euc. 10.Prop 3.110	10.prop.					
Euc. 10.Prop 3.111	10.prop.					
Euc. 10.Prop 3.112	10.prop.					
